Year,Adults,Juveniles
1995,958000,174000
1996,387000,908000
1997,503381,3801258
1998,860286,148081
1999,766639,74343
2000,1282935,3144457
2001,6178486,5416711
2002,5343031,9034958
2003,2129400,7095019
2004,1775861,4486022
2005,1486625,3771213
2006,781596,409413
2007,260150,780260
2008,1260000,6030000
2009,3532256.863,3251387.097
2010,2040000,2930000
2011,1140000,2310000
2012,470000,620000
2013,810000,1690000
2014,680000,630000
2015,560051,137962608
2016,7669122.44,1853445.892
2017,235511,97503877
2018,5507614,1747548
