ID,Collection_Date,Year,DissectionORsubsampling,Origin,Shell_Length_mm,Shell_Width_mm,Storage_method,Tissue_saved?,Empty_Tube_mg,Full_Tube_mg,Gill_Tissue_Weight_mg,Extracted,Quantified_via_qPCR,SamplingMethod,,,,,,,,,,,,,,
1,5/15/2002,2002,7/8/2019,2nd Beach,128,56,-80freezer,yes,1016.4,1048.1,31.7,yes,,moribund,,,,,,,,,,,,,,
2,5/15/2002,2002,7/8/2019,2nd Beach,150,45,-80freezer,yes,1004.8,1032,27.2,yes,,moribund,,,,,,,,,,,,,,
3,5/15/2002,2002,7/8/2019,2nd Beach,104,43,-80freezer,yes,1001.3,1028.5,27.2,yes,,moribund,,,,,,,,,,,,,,
4,5/15/2002,2002,7/8/2019,2nd Beach,130,54,-80freezer,no,1001,1022.7,21.7,yes,,moribund,,,,,,,,,,,,,,
5,5/15/2002,2002,7/8/2019,2nd Beach,122,51,-80freezer,yes,1009.8,1036,26.2,yes,,moribund,,,,,,,,,,,,,,
6,5/15/2002,2002,7/8/2019,2nd Beach,124,49,-80freezer,no,1008.1,1054.1,46,yes,,moribund,,,,,,,,,,,,,,
7,5/15/2002,2002,7/8/2019,2nd Beach,115,43,-80freezer,yes,1006.9,1041.3,34.4,yes,,moribund,,,,,,,,,,,,,,
8,5/15/2002,2002,7/8/2019,2nd Beach,150,40,-80freezer,yes,1001.4,1028.5,27.1,yes,,moribund,,,,,,,,,,,,,,
9,5/15/2002,2002,7/8/2019,2nd Beach,123,54,-80freezer,yes,1013.6,1049,35.4,yes,,moribund,,,,,,,,,,,,,,
10,5/15/2002,2002,7/8/2019,2nd Beach,74,21,-80freezer,yes,1009.4,1052.3,42.9,yes,,moribund,,,,,,,,,,,,,,
11,7/22/2017,2017,7/8/2019,Kalaloch,95,37,-80freezer,yes,1007.3,1046.7,39.4,yes,7/12/2019,moribund,,,,,,,,,,,,,,
12,7/22/2017,2017,7/8/2019,Kalaloch,55,20,-80freezer,yes,1002.7,1042,39.3,yes,7/12/2019,moribund,,,,,,,,,,,,,,
13,7/22/2017,2017,7/8/2019,Kalaloch,93,39,-80freezer,yes,1006.3,1065.1,58.8,yes,7/12/2019,moribund,,,,,,,,,,,,,,
14,7/22/2017,2017,7/8/2019,Kalaloch,59,22,-80freezer,yes,1004.9,1048.9,44,yes,7/12/2019,moribund,,,,,,,,,,,,,,
15,7/22/2017,2017,7/8/2019,Kalaloch,49,17,-80freezer,yes,1005,1036.6,31.6,yes,7/12/2019,moribund,,,,,,,,,,,,,,
16,7/22/2017,2017,7/8/2019,Kalaloch,95,35,-80freezer,yes,1006.1,1036.7,30.6,yes,7/12/2019,moribund,,,,,,,,,,,,,,
17,7/22/2017,2017,7/8/2019,Kalaloch,94,39,-80freezer,yes,1001.3,1031.2,29.9,yes,7/12/2019,moribund,,,,,,,,,,,,,,
18,7/22/2017,2017,7/8/2019,Kalaloch,62,24,-80freezer,yes,1008.7,1042,33.3,yes,7/12/2019,moribund,,,,,,,,,,,,,,
19,7/22/2017,2017,7/8/2019,Kalaloch,93,39,-80freezer,yes,1004.9,1055,50.1,yes,7/12/2019,moribund,,,,,,,,,,,,,,
