ID,AverageSQ_1ul
28,0
31,0
32,0
34,0
35,0
36,0
37,0
38,0
38,0
39,0
40,0
41,0
43,0
44,0
45,0
46,0
47,0
49,0
51,0
52,0
53,0
54,0
55,0
56,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
74,0
75,0
79,0
80,0
82,0
83,0
109,0
123,0
127,0
128,0
129,0
130,0
131,0
132,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
146,0
147,0
148,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
168,0
169,0
175,0
177,0
197,0
198,0
199,0
200,0
255,0
257,0
268,0
269,0
271,0
259,213
133,220
266,223
167,275
30,278
195,278
145,285
243,299
50,304
254,308
42,322
29,340
174,363
33,418
250,468
270,487
149,521
196,532
267,533
252,766
260,850
265,893
272,997
263,1025
253,1123
190,1373
251,1433
48,1529
78,1602
81,1798
261,1929
18,1979
57,2179
258,2275
194,2700
256,2808
65,2900
16,3030
91,4749
76,5685
85,6213
73,6287
262,8510
77,8645
84,8823
264,9693
26,13813
15,22567
12,29271
13,37003
89,46686
118,48324
97,49119
112,62155
101,66383
111,67374
94,79114
102,96620
87,98756
27,106612
22,110247
99,128448
100,134779
113,135088
17,140801
124,143925
90,156835
126,158388
19,162779
86,174447
108,176973
25,178784
20,211404
88,229285
104,258087
121,263636
92,274480
115,296104
120,313197
125,321113
11,328635
119,334740
24,352604
96,372970
125,380369
122,388612
93,400455
110,416555
98,438771
105,456896
14,468649
114,502769
23,663361
106,677632
95,703037
116,874718
107,919041
117,1181635
103,1461908
